案件編號,包裹配送編號,案件摘要,案件說明,案件描述,用戶類型,退貨物流編號,備註,影片處理狀況,案件建立時間
202887290736873,TW267228759905R,Invoice Related Issues,,用戶為買家，針對訂單 26023KG8K0KV8 詢問為何會收到「退款商品折讓證明聯」，並想了解該文件的用途與含義。,Buyer,260303073T55NN,,準備中,2026-03-04 0:39:03
202902482754236423,TW264028353302,,,,Buyer,,,準備中,2026-03-04 0:29:53
202698062979660857,TW26549085S,,,,Buyer,,,準備中,2026-02-26 9:20:06
202840369672977376,TW26549085S,,,用戶透過網路電話來電，但未說明任何訂單或問題細節。目前僅能記錄為一般諮詢，待用戶補充資訊後再進一步協助。,Buyer,,,下載中,2026-03-02 7:35:00
20282787854838857,TW26904357648F,Issues on cash collection machine,,,Buyer,,,下載中,2026-03-02 9:06:00
20269307788538655,TW266380563357Z,Return/refund was cancelled as buyer did not ship on time,,用戶反映訂單 26030GPX83DR8 已於 2/5 在退貨期限內完成退貨，但系統後來卻顯示未於時間內退貨且訂單已完成，導致商品已退回卻仍被扣款。用戶表示年前多次留言無回覆，請求協助查明原因並說明處理方式。,Buyer,26030GPX83DR8,,已完成,2026-02-26 5:59:47
20297839728449336,TW26867259759L,,,,Buyer,,,已完成,2026-03-06 2:59:32
202937355929669224,TW2686258835C,Check on return parcel status,,User requested assistance with checking the return/refund progress for order SN 26026U6U4NN7P. They asked to be connected to a live agent and confirmed they want to know the current status of the refund.,Buyer,260300N54VKC,,已完成,2026-03-05 9:48:55
202644683209968444,TW26084638094X,,,,Buyer,,,已完成,2026-02-25 7:59:09
2027946780880495,TW260032854034,Seller Serviceable area enquiries,,用戶詢問今日（2026-02-27）桃園新屋區直營門市是否營業，因擔心228連假門市暫停營業而影響退貨。客服查無暫停營業公告，但用戶仍希望確認是否可於當天前往辦理退貨。,Buyer,2602209UY8YEK,,已完成,2026-02-27 9:08:03
202884029668468753,TW26559697363,,,用戶於 2026-03-03 22:7:22 透過網路電話來電，但未說明任何具體問題或訂單資訊。目前僅能記錄為一般諮詢，待後續補充細節。,Buyer,,,已完成,2026-03-03 22:29:05
202883496963382825,TW26559697363,Disconnected / Drop Call,,,Buyer,,,已完成,2026-03-03 22:08:45
2028662953027555359,TW25040433463H,Raise a RRAOC,,賣家要求為訂單 25226BDGFSXGA 申請紅包單項退款，因買家不需使用該紅包。對話中未提供商品或額外訂單資訊，僅請求協助處理紅包退款。,Seller,,,已完成,2026-03-03 0:45:03
2026839668773597206,TW268029893304P,Raise a RRAOC,,還要追260222CB6H0XAT,Seller,,,已完成,2026-02-26 0:00:08
202866499383460660,TW26644040294,Raise a RRAOC,,,Seller,,,已完成,2026-03-03 0:53:09
202945298306756666,查無資料,Raise a RRAOC,,,Seller,,,已完成,2026-03-05 4:57:49
202979955452497683,TW262069844855I,Expedite delivery,,用戶反映訂單 26030373JVFWDQ 的訂單動態長期未更新，詢問未更新的原因。客服表示需更多時間確認並請用戶稍候。,Seller,,,已完成,2026-03-06 4:00:40
2025863822342737920,TW260498939035O,,,,Buyer,,,已完成,2026-02-23 7:22:28
20269279650205770,TW266040696360,,,,Buyer,,,已完成,2026-02-26 5:26:28
202922573923592840,TW268275630202C,Return/refund was cancelled as buyer did not ship on time,,我明明就已經寄出退貨，卻一直說我未在期限內寄出,Buyer,2602230EV6FYXXJ,,已完成,2026-03-05 0:00:32
202835222495879208,查無資料,Request to cancel order,,,Buyer,,,已完成,2026-03-02 :43:28
202837556049247758,TW26558430905J,,,,Seller,,,已完成,2026-03-02 5:43:03
2025968377657794652,TW2655085447V,Return/refund after full Shopee Guarantee period,,請問我要退貨，要跟賣家要退貨方式，賣家要求我要先把評價改4-5星才要給我退貨方式，請問我可以拒絕改評價嗎？若我拒絕改評價賣家不給我退貨方式我可以怎麼做？,Buyer,260207042VTXBKA,,已完成,2026-02-24 0:07:56
202623340055946294,TW2677692304D,Invoice Related Issues,,,Buyer,,,下載失敗,2026-02-24 7:05:05
2029047945956478,查無資料,Shipping performance / LSR (Late shipment Rate) enquiry,,用戶於2026-03-04 :52:2 透過網路電話來電，但未說明任何訂單編號或具體問題。目前僅能記錄為一般諮詢，待後續補充資訊再進一步協助。,Seller,,,已完成,2026-03-04 2:05:00
2029732379399892995,查無資料,Auto cancel warning received,,用戶於 2026-03-06 09:04:42 透過網路電話來電，但未說明任何問題或提供訂單編號。目前無法判定其需求或主要訴求。,Seller,,,已完成,2026-03-06 9:34:44
20294932402799573,TW262630059345C,Expedite delivery,,User asked for delivery details and which logistics provider is used for order 260228UNF90VK9. They then requested to contact customer service and selected 'expedite delivery' for this order.,Buyer,,,已完成,2026-03-05 7:44:00
202663243396802,TW267895407046,,,,Buyer,,,已完成,2026-02-25 20:05:23
202950273894098932,TW26730596977,Raise a RRAOC,,請問此流程能順利完成退款嗎？,Buyer,,,已完成,2026-03-05 8:22:03
2028036666094284823,TW26950074743F,,,,Buyer,,,已完成,2026-03-0 7:6:34
20294807840990437,TW26823664652H,,,,Buyer,,,已完成,2026-03-05 6:56:09
202552223933493263,TW266244225875Z,,,,Buyer,,,已完成,2026-02-22 8:05:02
2027057725353798,TW2689569664F,,,,Buyer,,,已完成,2026-02-27 0:24:25
202653355438846007,TW263023476349N,Raise a RRAOC,,買家針對訂單 26025THGR3V（Order ID 223036324270204）反映乳液有顆粒感，與正品感受不同，疑似仿品，要求申請退貨退款。客服已轉交處理單位，並請買家補充商品瑕疵照片與相關資訊。,Buyer,,,已完成,2026-02-25 2:23:29
2026632798927478,TW26835890009O,Raise a RRAOC,,賣家就訂單 2603FQ0TS9WR（Order ID 2235402022986）請求退貨退款，因商品無法下水清洗且已過鑑賞期。賣家表示需回收商品並走系統逆物流，希望後台協助發起RRAOC。,Seller,,,已完成,2026-02-24 3:02:24
20284378036232538,TW264457066826D,,,,Buyer,,,已完成,2026-03-02 9:50:33
202663269874542663,TW26227824297O,Status is delivered but not yet received,,買家帳號：carrow25 賣家帳號：applemotogp 訂單編號：260282SXSBU4A 寄件編號：TW26227824297O 前往的收件門市：新竹金山店 新竹市東區新竹市東區金山北一街6號樓 取件人大名：郭亞婷 收件人手機號碼：886988630707 取件日期與時間：  用戶反應門市取不到件，懇請協助確認商品是否在店，謝謝。 有留電話給店員並告知上班無法接電話請用簡訊通知但兩天還沒收到簡訊，看google map顯示是總公司電話故無法與門市聯繫，還請幫忙查詢，十分感謝！,Buyer,,,已完成,2026-02-25 20:05:36
20293996620250080,查無資料,Status is delivered but not yet received,,2026-03-05 用戶透過網路來電反映訂單少發一箱濕紙巾，並已指引買家申請退款。請協助記錄與後續處理。,Buyer,,,已完成,2026-03-05 :32:38
202907396067373057,TW260426470279V,,,,Buyer,,,已完成,2026-03-04 3:58:25
20270025803893049,TW26566253320T,,,,Buyer,,,已完成,2026-02-26 20:47:04
202698848604993059,TW26566253320T,,,,Buyer,,,已完成,2026-02-26 9:05:28
202543520787707463,查無資料,Request to extend self-collection duration,,用戶為賣家，透過人工客服諮詢蝦皮店到店寄件/配送相關問題，並提供訂單編號 26022GTEWXBR0（Order ID 2245787426736）。目前僅提出一般詢問，未說明具體問題細節或請求，待客戶補充更多資訊以利後續協助。,Buyer,,,已完成,2026-02-22 2:59:07
202835575357468748,TW2674975068K,,,,Buyer,,,已完成,2026-03-02 4:07:55
202583404423022607,TW26770880859,Raise a RRAOC,,,Buyer,,,已完成,2026-02-23 5:24:09
2027584306283794478,TW2633688454Z,,,,Buyer,,,已完成,2026-02-28 :9:04
20278796337954895,TW26792770455L,,,,Buyer,,,已完成,2026-02-27 9:04:08
20278845785820249,TW26792770455L,No Message Sent By User,,,Buyer,,,已完成,2026-02-27 9:05:56
20294477756326540,TW266464666938L,,,,Buyer,,,已完成,2026-03-05 4:43:49
2025853725343983,TW263028269054,Payment method cannot be used,,,Buyer,,,已完成,2026-02-23 6:33:00
2025848559583600709,,Status is delivered but not yet received,,,Buyer,,,已完成,2026-02-23 6:02:49
202957577968078876,TW26084354638J,,,,Buyer,,,已完成,2026-03-04 9:30:04
202733286985368095,TW26003864227T,,,,Seller,,,已完成,2026-02-27 8:39:56
20279955746574768,TW2626790743,Picked up but status not updated,,Seller reports that order 260223G46KVMA was shipped from a store but appears canceled and no return parcel has been sent back. They are asking why the order is marked as not established and seeking clarification.,Seller,,,已完成,2026-02-27 9:50:02
202908564807872050,TW262465827557O,Feedback on Sellers,,用戶於2026-03-04 4:44:5 透過網路來電聯繫客服，但未提供具體問題或訂單資訊。目前僅能記錄為一般諮詢，待用戶補充細節後再進一步處理。,Buyer,,,已完成,2026-03-04 4:44:05
202867205667320223,TW26772698864I,Enquiries on late delivery compensation,,用戶反映訂單 26030WS330Q7 的 30 元延遲補償券自凌晨起一直無法領取，系統顯示「請稍後再試」。用戶已更新至最新版本且換機測試仍無法領取，請求協助查明原因並完成補償券領取。,Buyer,,,已完成,2026-03-03 :2:23
20294906587580277,TW264098232706T,,,,Buyer,,,已完成,2026-03-05 7:34:03
2026983632273559603,TW26223388727O,,,,Buyer,,,已完成,2026-02-26 9:32:02
2029559954456038,TW2664072998569,,,,Buyer,,,已完成,2026-03-05 22:06:34
2029473756468674633,TW265733427307Q,Feedback on Sellers,,用戶於2026-03-05 6:27 透過網路電話來電，但未說明任何問題或提供訂單編號。目前僅能記錄為一般諮詢，待用戶補充細節後再進一步協助。,Buyer,,,已完成,2026-03-05 6:27:04
2028507236250693677,TW269896999638,Expedite delivery,,賣家說已從店到店出貨，也有掃碼，但我的畫面一直是「賣家將於確認訂單後出貨」，上面有寫賣家最晚須於3/3出貨，這樣會被取消訂單嗎？,Buyer,,,已完成,2026-03-03 0:26:27
20287893395465503,TW262868299628E,Disconnected / Drop Call,,,Buyer,,,已完成,2026-03-03 9:07:20
20255468693600076,TW26943982062,,,,Buyer,,,已完成,2026-02-22 20:22:59
202877026704393865,TW2665556085J,Status is delivered but not yet received,,"Buyer reports not receiving the parcel from a smart locker, stating the locker door closed without retrieval. They contacted support regarding a Shopee Store-to-Store shipment/delivery issue and provided order SN 260225NBG3GDKW.",Buyer,,,已完成,2026-03-03 7:05:39
202580205402854956,查無資料,Issues on cash collection machine,,,Buyer,,,已完成,2026-02-23 3:07:00
2026605565284487238,TW2686065548T,How to change refund amount,,買家反映訂單 2602072TSEV4TV 中有兩件商品皆有破損，其中一件已申請退貨退款，另一件卻被系統自動標記為「已確認收貨」，導致無法再申請退貨。客服建議先取消現有退貨退款申請，再重新提交包含兩件商品的退貨退款。,Buyer,2602250MMJ7B5GX,,已完成,2026-02-25 8:29:53
2026239760904388,TW266399898858T,,,,Buyer,,,已完成,2026-02-24 7:45:22
202970585757470380,TW263055946209D,Status is delivered but not yet received,,取貨當天領取較多包裹，沒點包裹數量就回家了。晚上拆包裹才發現少一個包裹，因為是小包裹不知道會漏拿了嗎？再回蝦皮店重按電話就沒有可取商品了。可以請該蝦皮店人員再看看包裹在蝦皮店嗎,Buyer,,,已完成,2026-03-06 7:49:02
2028439730904735,TW262425832438K,,,,Buyer,,,已完成,2026-03-02 9:27:23
2029435348872949828,TW264770202234X,Check RTS status,,用戶於 2026-03-05 3:54:26 透過網路來電聯繫客服，但未說明任何問題或需求。目前僅能記錄為一般來電，待後續補充資訊。,Seller,,,已完成,2026-03-05 3:54:26
2029355824298790926,TW26398037924K,,,,Buyer,260303069020GKG,,已完成,2026-03-05 8:38:26
20290926275699203,TW26635958268X,Expedite delivery,,用戶透過網路電話來電，但未說明任何具體問題或需求。目前僅能記錄為一般諮詢，待用戶補充細節後再進一步處理。,Buyer,,,已完成,2026-03-04 6:08:04
202979878049477056,TW262594320909S,,,,Buyer,,,已完成,2026-03-06 3:58:35
2029735227900873,TW2670702400598,Disconnected / Drop Call,,,Buyer,,,已完成,2026-03-06 9:46:03
202920967748730905,TW263040375827,,,,Buyer,,,已完成,2026-03-04 22:57:04
202874006070684469,TW2629400625J,Enquiry about pickup / drop off / collection,,用戶透過網路電話聯繫客服，但未說明任何具體問題或需求。目前僅能記錄為一般諮詢，待後續補充資訊。,Seller,,,已完成,2026-03-03 5:05:37
202473603734225792,TW260869502364Q,Return/refund was cancelled as buyer did not ship on time,,,Buyer,260240V6GBPMJM,,已完成,2026-02-20 4:04:03
20273252678354304,TW260869502364Q,Return/refund was cancelled as buyer did not ship on time,,"Buyer reports a self-paid return for order 26008GYF2X03A (Order ID 2258354820720) submitted via Help Center on 2/2. They were told returns would ship on 2/27, but now the Help Center shows no active return and they cannot find the order there.",Buyer,260240V6GBPMJM,,已完成,2026-02-27 7:54:52
202900944998764373,TW260869502364Q,Parcel was returned without proper notification,,用戶反映於2026年2月2日在蝦皮自助服務中心申請自費貨物運回服務，至今仍未收到包裹。其提供訂單編號 26008GYF2X03A（Order ID: 2258354820720），金額 93，並表示尚未取得進一步資訊，希望客服協助查詢目前運回進度與處理時程。,Buyer,260240V6GBPMJM,,已完成,2026-03-04 9:42:04
20288058526002769,TW26789897743M,,,,Buyer,,,已完成,2026-03-03 20:00:24
2028656892964982836,TW26735429220P,Check RTS status,,賣家反映訂單 2603FAJWBY03 的退貨商品逾期未取，希望了解如何取回該商品。客服已要求補充收件人與聯絡資訊，並將案件轉交相關單位處理。,Seller,260200BP93M994,,已完成,2026-03-03 0:02:08
20264570525326333,TW257424555I,Voucher not refunded,,買家反映訂單 250902CV3E8M4（Order ID 2044249725760）因賣家未出貨導致訂單不成立，並要求補發原訂單使用的折扣券 KR8VII02。客服已建立案件編號 20264570525326333，職代與內部團隊確認補發，並由 CS 回覆補碼申請表。,Buyer,,,已完成,2026-02-24 2:02:34
2029506554647752736,TW26727443660,Expedite delivery,,.寄件日+時間：0305 9:2  2.寄件門市：蝦皮店到店 安南安中二 - 智取店  3.寄件人特徵：50幾歲女生   5.狀況簡述 (店員說放著就好/其他狀況)： 請家人寄件但我帳戶系統依舊顯示待出貨,Seller,,,已完成,2026-03-05 8:37:23
20250923098403465,TW26743427530S,,,,Buyer,,,已完成,2026-02-02 4:06:45
20262262842285263,TW26743427530S,Status is delivered but not yet received,,,Buyer,2602240GPAESXVH,,已完成,2026-02-24 0:30:52
202947593859539037,TW262625573263J,Order is shipped but cancelled in system,,用戶於2026-03-05 6:8:28 透過網路電話來電，但未說明任何具體問題或訂單資訊。目前僅能記錄為一般諮詢，待用戶補充細節後再進一步處理。,Buyer,,,已完成,2026-03-05 6:08:28
202709709898503492,TW26443884540Q,,,,Buyer,,,已完成,2026-02-27 3:03:04
20298896493448,TW268665224955O,Check on KYC status,,用戶透過網路電話來電，但未說明任何具體問題或提供訂單編號。目前僅能記錄為一般諮詢，待用戶補充細節後再進一步處理。,Buyer,,,已完成,2026-03-04 6:56:58
202926957643355,TW263529806493P,,,,Buyer,,,已完成,2026-03-04 7:29:00
2026585905594396754,TW269705063677L,,,,Buyer,,,已完成,2026-02-25 7::46
202550505682063438,TW26064847250,Status is delivered but not yet received,,用戶反映蝦皮店到店寄件/配送出現問題，表示提供的處理方式完全無法解決，且多次聯繫不到客服。主要訴求是針對訂單 26022FQES525Y 的配送相關問題尋求協助與改善。,Buyer,,,已完成,2026-02-22 7:58:03
2028403503800483923,TW266340694433O,Other RTS issues,,用戶詢問如何查看退貨配送進度，並提供訂單編號 260299F6P48（Order ID 22332556820864）。客服已確認需求並請用戶補充收件資訊以安排退回包裹。,Seller,,,已完成,2026-03-02 7:34:05
2027357466660296,TW266340694433O,No Message Sent By User,,,Seller,,,已完成,2026-02-27 7:03:54
202732267749753654,TW266340694433O,No Message Sent By User,,,Seller,,,已完成,2026-02-27 7:59:26
202728448062936270,TW26673927W,Parcel was returned without proper notification,,用戶詢問訂單目前的配送狀態與預計到貨時間，希望了解包裹是否仍在運輸途中。未提供具體訂單編號或物流追蹤資訊，僅請求確認配送進度。,Seller,,,已完成,2026-02-27 5:27:39
202723982838350550,TW26790885485N,,,,Buyer,,,已完成,2026-02-27 2:30:04